,Below Treeline,Treeline,Above Treeline
2012-01-01,,,
2012-01-02,,,
2012-01-03,1,2,3
2012-01-04,1,2,3
2012-01-05,1,2,3
2012-01-06,,,
2012-01-07,,,
2012-01-08,,,
2012-01-09,,,
2012-01-10,,,
2012-01-11,1,2,3
2012-01-12,1,2,3
2012-01-13,1,2,3
2012-01-14,1,2,3
2012-01-15,,,
2012-01-16,,,
2012-01-17,,,
2012-01-18,,,
2012-01-19,,,
2012-01-20,,,
2012-01-21,,,
2012-01-22,,,
2012-01-23,,,
2012-01-24,1,2,3
2012-01-25,1,2,3
2012-01-26,1,2,3
2012-01-27,1,2,3
2012-01-28,,,
2012-01-29,,,
2012-01-30,,,
2012-01-31,,,
2012-02-01,,,
2012-02-02,1,2,3
2012-02-03,1,2,3
2012-02-04,,,
2012-02-05,,,
2012-02-06,,,
2012-02-07,,,
2012-02-08,,,
2012-02-09,,,
2012-02-10,1,2,3
2012-02-11,1,2,3
2012-02-12,,,
2012-02-13,,,
2012-02-14,,,
2012-02-15,,,
2012-02-16,1,2,3
2012-02-17,1,2,3
2012-02-18,1,2,3
2012-02-19,1,2,3
2012-02-20,1,2,3
2012-02-21,,,
2012-02-22,,,
2012-02-23,1,2,3
2012-02-24,1,2,3
2012-02-25,1,2,3
2012-02-26,,,
2012-02-27,,,
2012-02-28,,,
2012-02-29,,,
2012-03-01,1,2,3
2012-03-02,1,2,3
2012-03-03,1,2,3
2012-03-04,1,2,3
2012-03-05,,,
2012-03-06,,,
2012-03-07,,,
2012-03-08,1,2,3
2012-03-09,1,2,3
2012-03-10,1,2,3
2012-03-11,,,
2012-03-12,,,
2012-03-13,,,
2012-03-14,1,2,3
2012-03-15,1,2,3
2012-03-16,1,2,3
2012-03-17,,,
2012-03-18,,,
2012-03-19,,,
2012-03-20,,,
2012-03-21,1,2,3
2012-03-22,1,2,3
2012-03-23,1,2,3
2012-03-24,,,
2012-03-25,,,
2012-03-26,,,
2012-03-27,,,
2012-03-28,,,
2012-03-29,,,
2012-03-30,,,
2012-03-31,1,2,3
2012-04-01,1,2,3
2012-04-02,1,2,3
2012-04-03,,,
2012-04-04,1,2,3
2012-04-05,1,2,3
2012-04-06,,,
2012-04-07,,,
2012-04-08,,,
2012-04-09,,,
2012-04-10,,,
2012-04-11,1,2,3
2012-04-12,1,2,3
2012-04-13,1,2,3
2012-04-14,1,2,3
2012-04-15,,,
2012-04-16,,,
2012-04-17,1,2,3
2012-04-18,1,2,3
2012-04-19,1,2,3
2012-04-20,1,2,3
2012-04-21,,,
2012-04-22,,,
2012-04-23,,,
2012-04-24,,,
2012-04-25,,,
2012-04-26,,,
2012-04-27,,,
2012-04-28,,,
2012-04-29,,,
2012-04-30,,,
2013-01-01,,,
2013-01-02,,,
2013-01-03,,,
2013-01-04,,,
2013-01-05,,,
2013-01-06,,,
2013-01-07,,,
2013-01-08,,,
2013-01-09,,,
2013-01-10,,,
2013-01-11,,,
2013-01-12,,,
2013-01-13,,,
2013-01-14,,,
2013-01-15,,,
2013-01-16,,,
2013-01-17,,,
2013-01-18,,,
2013-01-19,,,
2013-01-20,,,
2013-01-21,,,
2013-01-22,,,
2013-01-23,,,
2013-01-24,,,
2013-01-25,,,
2013-01-26,,,
2013-01-27,,,
2013-01-28,,,
2013-01-29,,,
2013-01-30,,,
2013-01-31,,,
2013-02-01,,,
2013-02-02,,,
2013-02-03,,,
2013-02-04,,,
2013-02-05,,,
2013-02-06,,,
2013-02-07,,,
2013-02-08,,,
2013-02-09,,,
2013-02-10,,,
2013-02-11,,,
2013-02-12,,,
2013-02-13,,,
2013-02-14,,,
2013-02-15,,,
2013-02-16,,,
2013-02-17,,,
2013-02-18,,,
2013-02-19,,,
2013-02-20,,,
2013-02-21,,,
2013-02-22,,,
2013-02-23,,,
2013-02-24,,,
2013-02-25,,,
2013-02-26,,,
2013-02-27,,,
2013-02-28,,,
2013-03-01,,,
2013-03-02,,,
2013-03-03,,,
2013-03-04,,,
2013-03-05,,,
2013-03-06,,,
2013-03-07,,,
2013-03-08,,,
2013-03-09,,,
2013-03-10,,,
2013-03-11,,,
2013-03-12,,,
2013-03-13,,,
2013-03-14,,,
2013-03-15,,,
2013-03-16,,,
2013-03-17,,,
2013-03-18,,,
2013-03-19,,,
2013-03-20,,,
2013-03-21,,,
2013-03-22,,,
2013-03-23,,,
2013-03-24,,,
2013-03-25,,,
2013-03-26,,,
2013-03-27,,,
2013-03-28,,,
2013-03-29,,,
2013-03-30,,,
2013-03-31,,,
2013-04-01,,,
2013-04-02,,,
2013-04-03,,,
2013-04-04,,,
2013-04-05,,,
2013-04-06,,,
2013-04-07,,,
2013-04-08,,,
2013-04-09,,,
2013-04-10,,,
2013-04-11,,,
2013-04-12,,,
2013-04-13,,,
2013-04-14,,,
2013-04-15,,,
2013-04-16,,,
2013-04-17,,,
2013-04-18,,,
2013-04-19,,,
2013-04-20,,,
2013-04-21,,,
2013-04-22,,,
2013-04-23,,,
2013-04-24,,,
2013-04-25,,,
2013-04-26,,,
2013-04-27,,,
2013-04-28,,,
2013-04-29,,,
2013-04-30,,,
2014-01-01,1,2,3
2014-01-02,1,2,3
2014-01-03,1,2,3
2014-01-04,1,2,3
2014-01-05,1,2,3
2014-01-06,1,2,3
2014-01-07,2,3,2
2014-01-08,1,2,3
2014-01-09,1,2,3
2014-01-10,2,2,2
2014-01-11,1,2,3
2014-01-12,1,2,3
2014-01-13,1,2,3
2014-01-14,3,4,3
2014-01-15,1,2,3
2014-01-16,1,2,3
2014-01-17,3,3,3
2014-01-18,1,2,3
2014-01-19,1,2,3
2014-01-20,1,2,3
2014-01-21,2,3,3
2014-01-22,1,2,3
2014-01-23,1,2,3
2014-01-24,3,3,3
2014-01-25,1,2,3
2014-01-26,1,2,3
2014-01-27,1,2,3
2014-01-28,2,2,2
2014-01-29,2,2,2
2014-01-30,2,2,2
2014-01-31,2,2,2
2014-02-01,2,2,2
2014-02-02,2,2,2
2014-02-03,1,2,3
2014-02-04,1,2,2
2014-02-05,1,2,2
2014-02-06,1,2,2
2014-02-07,1,1,1
2014-02-08,1,1,1
2014-02-09,1,1,1
2014-02-10,1,2,3
2014-02-11,1,1,1
2014-02-12,1,1,1
2014-02-13,1,1,1
2014-02-14,3,3,4
2014-02-15,3,3,4
2014-02-16,3,3,4
2014-02-17,1,2,3
2014-02-18,3,3,3
2014-02-19,3,3,3
2014-02-20,3,3,3
2014-02-21,2,3,3
2014-02-22,2,3,3
2014-02-23,2,3,3
2014-02-24,1,2,3
2014-02-25,2,3,3
2014-02-26,2,3,3
2014-02-27,2,3,3
2014-02-28,1,2,2
2014-03-01,1,2,2
2014-03-02,1,2,2
2014-03-03,1,2,3
2014-03-04,1,2,2
2014-03-05,1,2,2
2014-03-06,1,2,2
2014-03-07,1,2,3
2014-03-08,1,2,3
2014-03-09,1,2,3
2014-03-10,1,2,3
2014-03-11,3,4,4
2014-03-12,3,4,4
2014-03-13,3,4,4
2014-03-14,3,3,3
2014-03-15,3,3,3
2014-03-16,3,3,3
2014-03-17,1,2,3
2014-03-18,3,3,3
2014-03-19,3,3,3
2014-03-20,2,3,3
2014-03-21,2,3,3
2014-03-22,2,3,1
2014-03-23,2,3,1
2014-03-24,1,2,3
2014-03-25,2,2,2
2014-03-26,2,2,2
2014-03-27,2,2,2
2014-03-28,2,2,2
2014-03-29,2,2,2
2014-03-30,2,2,2
2014-03-31,1,2,3
2014-04-01,2,2,3
2014-04-02,2,2,3
2014-04-03,2,2,2
2014-04-04,2,2,2
2014-04-05,2,2,2
2014-04-06,2,2,2
2014-04-07,1,2,3
2014-04-08,4,4,3
2014-04-09,4,4,3
2014-04-10,3,3,3
2014-04-11,3,3,3
2014-04-12,2,2,2
2014-04-13,2,2,2
2014-04-14,1,2,3
2014-04-15,2,2,2
2014-04-16,2,2,2
2014-04-17,2,2,2
2014-04-18,2,2,2
2014-04-19,1,2,2
2014-04-20,1,2,2
2014-04-21,1,2,3
2014-04-22,1,2,2
2014-04-23,1,2,2
2014-04-24,1,2,2
2014-04-25,1,2,2
2014-04-26,1,2,2
2014-04-27,1,2,2
2014-04-28,1,2,3
2014-04-29,1,2,2
2014-04-30,1,2,2
2015-01-01,1,2,3
2015-01-02,1,2,3
2015-01-03,1,2,3
2015-01-04,1,2,3
2015-01-05,1,2,3
2015-01-06,1,2,3
2015-01-07,1,2,3
2015-01-08,1,2,3
2015-01-09,1,2,3
2015-01-10,1,2,3
2015-01-11,1,2,3
2015-01-12,1,2,3
2015-01-13,1,2,3
2015-01-14,1,2,3
2015-01-15,1,2,3
2015-01-16,1,2,3
2015-01-17,1,2,3
2015-01-18,1,2,3
2015-01-19,1,2,3
2015-01-20,1,2,3
2015-01-21,1,2,3
2015-01-22,1,2,3
2015-01-23,1,2,3
2015-01-24,1,2,3
2015-01-25,1,2,3
2015-01-26,1,2,3
2015-01-27,1,2,3
2015-01-28,1,2,3
2015-01-29,1,2,3
2015-01-30,1,2,3
2015-01-31,1,2,3
2015-02-01,1,2,3
2015-02-02,1,2,3
2015-02-03,1,2,3
2015-02-04,1,2,3
2015-02-05,1,2,3
2015-02-06,1,2,3
2015-02-07,1,2,3
2015-02-08,1,2,3
2015-02-09,1,2,3
2015-02-10,1,2,3
2015-02-11,1,2,3
2015-02-12,1,2,3
2015-02-13,1,2,3
2015-02-14,1,2,3
2015-02-15,1,2,3
2015-02-16,1,2,3
2015-02-17,1,2,3
2015-02-18,1,2,3
2015-02-19,3,1,2
2015-02-20,3,1,2
2015-02-21,1,2,3
2015-02-22,1,2,3
2015-02-23,1,2,3
2015-02-24,2,2,2
2015-02-25,2,2,2
2015-02-26,1,2,3
2015-02-27,1,2,3
2015-02-28,2,2,2
2015-03-01,2,2,2
2015-03-02,1,2,3
2015-03-03,1,2,3
2015-03-04,1,2,3
2015-03-05,1,2,3
2015-03-06,1,2,3
2015-03-07,2,3,3
2015-03-08,2,3,3
2015-03-09,1,2,3
2015-03-10,1,2,3
2015-03-11,1,2,3
2015-03-12,1,2,3
2015-03-13,1,2,3
2015-03-14,3,3,3
2015-03-15,3,3,3
2015-03-16,1,2,3
2015-03-17,1,2,3
2015-03-18,1,2,3
2015-03-19,1,2,3
